date,total_cases,recovered,active_cases,total_deaths
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,1,0,1,0
2020-03-03,1,0,1,0
2020-03-04,1,0,1,0
2020-03-05,2,0,2,0
2020-03-06,2,0,2,0
2020-03-07,2,0,2,0
2020-03-08,2,0,2,0
2020-03-09,2,0,2,0
2020-03-10,3,0,2,1
2020-03-11,6,0,5,1
2020-03-12,6,0,5,1
2020-03-13,7,1,5,1
2020-03-14,18,1,16,1
2020-03-15,28,1,26,1
2020-03-16,37,1,35,1
2020-03-17,44,1,41,2
2020-03-18,54,1,51,2
2020-03-19,63,2,59,2
2020-03-20,86,2,81,3
2020-03-21,96,3,90,3
2020-03-22,115,3,108,4
2020-03-23,143,5,134,4
2020-03-24,170,6,159,5
2020-03-25,225,7,212,6
2020-03-26,275,8,256,11
2020-03-27,345,11,311,23
2020-03-28,402,12,365,25
2020-03-29,479,13,440,26
2020-03-30,556,15,508,33
2020-03-31,617,24,557,36
2020-04-01,654,29,586,39
2020-04-02,708,31,633,44
2020-04-03,791,57,686,48
2020-04-04,919,66,794,59
2020-04-05,1021,76,875,70
2020-04-06,1120,81,959,80
2020-04-07,1184,93,1001,90
2020-04-08,1275,97,1085,93
2020-04-09,1374,109,1168,97
2020-04-10,1448,122,1219,107
2020-04-11,1545,146,1288,111
2020-04-12,1661,177,1366,118
2020-04-13,1763,203,1434,126
2020-04-14,1888,217,1545,126
2020-04-15,2024,229,1668,127
2020-04-16,2283,249,1904,130
2020-04-17,2564,281,2148,135
2020-04-18,2685,314,2234,137
2020-04-19,2855,327,2387,141
2020-04-20,3046,350,2553,143
2020-04-21,3209,393,2671,145
2020-04-22,3446,417,2880,149
2020-04-23,3568,456,2957,155
2020-04-24,3758,486,3114,158
2020-04-25,3897,537,3201,159
2020-04-26,4065,593,3311,161
2020-04-27,4120,695,3263,162
2020-04-28,4252,778,3309,165
2020-04-29,4321,928,3225,168
2020-04-30,4423,984,3269,170
2020-05-01,4569,1083,3315,171
2020-05-02,4729,1256,3300,173
2020-05-03,4903,1438,3291,174
2020-05-04,5053,1653,3221,179
2020-05-05,5219,1838,3200,181
2020-05-06,5408,2017,3208,183
2020-05-07,5548,2179,3186,183
2020-05-08,5711,2324,3201,186
2020-05-09,5910,2461,3263,186
2020-05-10,6063,2554,3321,188
2020-05-11,6281,2811,3282,188
2020-05-12,6418,2991,3239,188
2020-05-13,6512,3131,3193,188
2020-05-14,6607,3310,3107,190
2020-05-15,6652,3400,3062,190
2020-05-16,6741,3487,3062,192
2020-05-17,6870,3660,3018,192
2020-05-18,6952,3758,3002,192
2020-05-19,7023,3901,2929,193
2020-05-20,7133,4098,2841,194
2020-05-21,7211,4280,2735,196
2020-05-22,7332,4377,2758,197
2020-05-23,7406,4638,2570,198
2020-05-24,7433,4703,2531,199
2020-05-25,7532,4774,2558,200
2020-05-26,7577,4881,2494,202
2020-05-27,7601,4978,2421,202
2020-05-28,7643,5195,2246,202
2020-05-29,7714,5271,2241,202
2020-05-30,7780,5401,2175,204
2020-05-31,7807,5459,2143,205
2020-06-01,7833,5893,1735,205
2020-06-02,7866,6410,1250,206
2020-06-03,7922,6866,850,206
2020-06-04,8003,7195,600,208
2020-06-05,8071,7268,595,208
2020-06-06,8151,7315,628,208
2020-06-07,8224,7364,652,208
2020-06-08,8302,7408,686,208
2020-06-09,8437,7493,734,210
2020-06-10,8508,7565,732,211
2020-06-11,8537,7583,743,211
2020-06-12,8610,7618,780,212
2020-06-13,8692,7696,784,212
2020-06-14,8793,7765,816,212
2020-06-15,8885,7828,845,212
2020-06-16,8931,7937,782,212
2020-06-17,8997,7993,791,213
2020-06-18,9074,8041,820,213
2020-06-19,9613,8117,1283,213
2020-06-20,9839,8223,1403,213
2020-06-21,9977,8284,1479,214
2020-06-22,10172,8366,1592,214
2020-06-23,10344,8407,1723,214
2020-06-24,10907,8468,2223,216
2020-06-25,11338,8500,2621,217
2020-06-26,11633,8656,2759,218
2020-06-27,11877,8723,2934,220
2020-06-28,12052,8740,3091,221
2020-06-29,12290,8833,3232,225
2020-06-30,12533,8920,3385,228
2020-07-01,12636,9026,3382,228
2020-07-02,12969,9090,3650,229
2020-07-03,13288,9160,3898,230
2020-07-04,13822,9329,4261,232
2020-07-05,14215,9725,4255,235
2020-07-06,14379,10173,3969,237
2020-07-07,14607,10639,3728,240
2020-07-08,14771,11316,3213,242
2020-07-09,15079,11447,3390,242
2020-07-10,15328,11827,3258,243
2020-07-11,15542,12065,3232,245
2020-07-12,15745,12283,3212,250
2020-07-13,15936,12934,2747,255
2020-07-14,16097,13442,2398,257
2020-07-15,16262,13821,2182,259
2020-07-16,16545,13965,2317,263
2020-07-17,16726,14360,2102,264
2020-07-18,17015,14620,2126,269
2020-07-19,17236,14921,2042,273
2020-07-20,17562,15132,2154,276
2020-07-21,17742,15389,2073,280
2020-07-22,17962,15636,2041,285
2020-07-23,18264,15872,2100,292
2020-07-24,18834,16100,2435,299
2020-07-25,19645,16282,3058,305
2020-07-26,20278,16438,3527,313
2020-07-27,20887,16553,4018,316
2020-07-28,21387,17066,3994,327
2020-07-29,22213,17125,4754,334
2020-07-30,23259,17311,5602,346
2020-07-31,24322,17658,6311,353
2020-08-01,25015,17960,6688,367
2020-08-02,25537,18435,6720,382
2020-08-03,26196,18968,6827,401
2020-08-04,27217,19629,7171,417
2020-08-05,28500,19994,8071,435
2020-08-06,29644,20553,8642,449
2020-08-07,30662,21548,8653,461
2020-08-08,32007,22190,9337,480
2020-08-09,33237,23347,9392,498
2020-08-10,34063,24524,9023,516
2020-08-11,35195,25385,9277,533
2020-08-12,36694,25677,10461,556
2020-08-13,37935,26687,10664,584
2020-08-14,39241,27644,10986,611
2020-08-15,41017,28566,11819,632
2020-08-16,42489,29344,12487,658
2020-08-17,43558,29941,12936,681
2020-08-18,44803,31002,13087,714
2020-08-19,46313,31576,13994,743
2020-08-20,47638,32806,14057,775
2020-08-21,49247,34199,14231,817
2020-08-22,50812,35040,14914,858
2020-08-23,52349,36343,15118,888
2020-08-24,53252,37478,14854,920
2020-08-25,54528,38293,15280,955
2020-08-26,55864,40586,14294,984
2020-08-27,57085,41901,14173,1011
2020-08-28,58489,43049,14388,1052
2020-08-29,60056,44618,14360,1078
2020-08-30,61399,46355,13933,1111
2020-08-31,62590,47595,13854,1141
2020-09-01,63781,48922,13675,1184
2020-09-02,65453,50357,13880,1216
2020-09-03,66855,51223,14379,1253
2020-09-04,68605,52483,14830,1292
2020-09-05,70160,53929,14902,1329
2020-09-06,72394,55274,15759,1361
2020-09-07,73780,56096,16290,1394
2020-09-08,75721,57239,17055,1427
2020-09-09,77878,59723,16702,1453
2020-09-10,79767,61850,16426,1491
2020-09-11,82197,64194,16479,1524
2020-09-12,84435,65867,17015,1553
2020-09-13,86686,67528,17580,1578
2020-09-14,88203,68970,17619,1614
2020-09-15,90324,71047,17629,1648
2020-09-16,92016,72968,17362,1686
2020-09-17,94504,74930,17860,1714
2020-09-18,97264,76690,18819,1755
2020-09-19,99816,79008,19013,1795
2020-09-20,101743,80732,19181,1830
2020-09-21,103119,84158,17106,1855
2020-09-22,105346,85883,17574,1889
2020-09-23,107743,88244,17581,1918
2020-09-24,110099,90186,17957,1956
2020-09-25,112522,91932,18592,1998
2020-09-26,115241,94150,19050,2041
2020-09-27,117685,95591,20025,2069
2020-09-28,119107,97468,19526,2113
2020-09-29,121183,100253,18778,2152
2020-09-30,123653,102715,18744,2194
2020-10-01,126044,104136,19679,2229
2020-10-02,128565,106044,20258,2263
2020-10-03,131228,108687,20248,2293
2020-10-04,133272,111036,19906,2330
2020-10-05,134695,113336,18990,2369
2020-10-06,137248,115354,19484,2410
2020-10-07,140024,118142,19443,2439
2020-10-08,142953,120275,20192,2486
2020-10-09,146398,123022,20846,2530
2020-10-10,149841,124854,22415,2572
2020-10-11,152404,127407,22392,2605
2020-10-12,153761,129498,21627,2636
2020-10-13,156946,131462,22799,2685
2020-10-14,160333,133959,23648,2726
2020-10-15,163650,136036,24842,2772
2020-10-16,167148,138989,25341,2818
2020-10-17,170911,141381,26652,2878
2020-10-18,173632,143972,26732,2928
2020-10-19,175749,146421,26352,2976
2020-10-20,179003,148838,27138,3027
2020-10-21,182580,151634,27867,3079
2020-10-22,186731,154481,29118,3132
2020-10-23,190416,157175,30036,3205
2020-10-24,194461,160372,30834,3255
2020-10-25,197481,163195,30985,3301
2020-10-26,199745,165922,30450,3373
2020-10-27,203733,168706,31582,3445
2020-10-28,207718,171591,32621,3506
2020-10-29,212038,174911,33555,3572
2020-10-30,215294,177925,33744,3625
2020-10-31,219084,181275,34114,3695
2020-11-01,222544,184313,34469,3762
2020-11-02,225070,187101,34143,3826
2020-11-03,229565,189909,35756,3900
2020-11-04,235310,193886,37442,3982
2020-11-05,240951,197215,39677,4059
2020-11-06,246349,200954,41268,4127
2020-11-07,252185,205556,42432,4197
2020-11-08,256781,209801,42708,4272
2020-11-09,259951,212905,42690,4356
2020-11-10,265165,216851,43889,4425
2020-11-11,270626,221743,44377,4506
2020-11-12,276821,226040,46211,4570
2020-11-13,282336,229160,48545,4631
2020-11-14,288211,234904,48610,4697
2020-11-15,293177,238598,49800,4779
2020-11-16,296189,243359,47980,4850
2020-11-17,301604,247594,49078,4932
2020-11-18,306995,253351,48631,5013
2020-11-19,311554,257992,48472,5090
2020-11-20,316260,262212,48866,5182
2020-11-21,320962,266711,48995,5256
2020-11-22,324941,270457,49168,5316
2020-11-23,327528,275158,46974,5396
2020-11-24,331527,279276,46782,5469
2020-11-25,336506,284496,46471,5539
2020-11-26,340684,289808,45257,5619
2020-11-27,345276,294036,45551,5689
2020-11-28,349688,298574,45375,5739
2020-11-29,353803,302314,45700,5789
2020-11-30,356336,305291,45199,5846
2020-12-01,359844,310193,43736,5915
2020-12-02,364190,314237,43968,5985
2020-12-03,368624,318987,43574,6063
2020-12-04,372620,323814,42670,6136
2020-12-05,376738,327693,42861,6184
2020-12-06,379657,331301,42111,6245
2020-12-07,381188,334269,40599,6320
2020-12-08,384088,337719,39999,6370
2020-12-09,388184,341685,40072,6427
2020-12-10,391529,345934,39103,6492
2020-12-11,394564,349821,38201,6542
2020-12-12,397597,353098,37910,6589
2020-12-13,399609,356023,36962,6624
2020-12-14,400826,359065,35102,6659
2020-12-15,403619,362911,33997,6711
2020-12-16,406970,366835,33386,6749
2020-12-17,409746,369998,32944,6804
2020-12-18,412393,372725,32814,6854
2020-12-19,415226,375623,32694,6909
2020-12-20,417125,378154,32014,6957
2020-12-21,418002,380134,30868,7000
2020-12-22,420648,382925,30693,7030
2020-12-23,423214,385895,30233,7086
2020-12-24,425864,388728,30006,7130
2020-12-25,428193,391920,29103,7170
2020-12-26,430562,396095,27263,7204
2020-12-27,432079,398060,26779,7240
2020-12-28,433029,399575,26182,7272
2020-12-29,435189,401429,26446,7314
2020-12-30,437332,405251,24726,7355
2020-12-31,439193,407504,24301,7388
2021-01-01,440970,409638,23907,7425
2021-01-02,442141,412168,22521,7452
2021-01-03,443146,413393,22268,7485
2021-01-04,443802,414972,21292,7538
2021-01-05,445439,416708,21150,7581
2021-01-06,447081,418744,20719,7618
2021-01-07,448678,420569,20464,7645
2021-01-08,450221,422072,20464,7685
2021-01-09,451637,423541,20387,7709
2021-01-10,452532,424896,19893,7743
2021-01-11,452988,426006,19215,7767
2021-01-12,453789,427351,18654,7784
2021-01-13,455055,429278,17967,7810
2021-01-14,456334,431167,17313,7854
2021-01-15,457625,432576,17161,7888
2021-01-16,458865,433937,17017,7911
2021-01-17,459671,434925,16804,7942
2021-01-18,460144,435686,16481,7977
2021-01-19,461390,436626,16753,8011
